date,target,oil,gas,coal,corn,soybean,wheat,rice,usd_eur,usd_jpy,usd_cny,usd_index,usd_rub,cpi_china,cpi_us
23/02/1992,,17.71,1.249,,,,,,0.7912,128.91,5.47,90.13,,,138.6
01/03/1992,,17.55,1.171,,,,,,0.7854,129.5,5.4693,89.32,,,139.1
08/03/1992,,17.38,1.165,,,,,,0.802,131.8,5.475,90.66,,,139.1
15/03/1992,,17.87,1.212,,,,,,0.8003,133.66,5.4755,90.8,,,139.1
22/03/1992,,17.68,1.268,,,,,,0.8075,133.85,5.4792,92.36,,,139.1
29/03/1992,,17.91,1.326,,,,,,0.7892,133.05,5.47,90.72,,,139.1
05/04/1992,,18.76,1.319,,,,,,0.7832,133.45,5.4675,90.08,,,139.4
12/04/1992,,19.09,1.294,,,,,,0.7792,132.9,5.4655,90.31,,,139.4
19/04/1992,,18.99,1.361,,,,,,0.7991,133.95,5.519,91.53,,,139.4
26/04/1992,,18.86,1.386,,,,,,0.7915,134.45,5.5116,90.57,,,139.4
03/05/1992,,19.70,1.431,,,,,,0.7868,132.6,5.5101,89.81,,,139.7
10/05/1992,,19.70,1.475,,,,,,0.7883,133.4,5.52,89.99,,,139.7
17/05/1992,,19.59,1.657,,,,,,0.7689,129.78,5.5,88.16,,,139.7
24/05/1992,,19.72,1.545,,,,,,0.7739,129.18,5.5,88.26,,,139.7
31/05/1992,,20.79,1.625,,,,,,0.7675,127.7,5.4911,87.5,,,139.7
07/06/1992,,21.30,1.653,,,,,,0.7618,126.8,5.485,86.69,,,140.1
14/06/1992,,21.10,1.535,,,,,,0.7561,126.62,5.48,85.98,,,140.1
21/06/1992,,21.09,1.556,,,,,,0.7516,127.06,5.4747,87.11,,,140.1
28/06/1992,,21.17,1.519,,,,,,0.7361,125.7,5.4621,85.19,,,140.1
05/07/1992,,20.80,1.579,,,,,,0.7282,124.77,5.4621,84.11,,,140.5
12/07/1992,,19.86,1.653,,,,,,0.7184,125.3,5.4585,83.63,,,140.5
19/07/1992,,20.13,1.714,,,,,,0.7033,124.35,5.4485,81.98,,,140.5
26/07/1992,,20.71,1.794,,,,,,0.7209,128.15,5.42,84.05,,,140.5
02/08/1992,,20.47,1.892,,,,,,0.7082,127.1,5.42,82.59,,,140.8
09/08/1992,,19.86,1.889,,,,,,0.7047,127.55,5.4486,82.2,,,140.8
16/08/1992,,20.00,1.832,,,,,,0.7063,125.97,5.4412,82.15,,,140.8
23/08/1992,,19.68,1.854,,,,,,0.6995,125.55,5.43,80.44,,,140.8
30/08/1992,,19.87,2.115,,,,,,0.6781,123,5.4064,79.48,,,140.8
06/09/1992,,20.19,2.147,,,,,,0.6787,123,5.4651,79.05,,,141.1
13/09/1992,,20.43,2.148,,,,,,0.6971,124.33,5.5028,81.16,,,141.1
20/09/1992,,20.31,2.328,,,,,,0.7393,124.44,5.515,86.73,,,141.1
27/09/1992,,20.33,2.474,,,,,,0.7293,120.88,5.519,85.61,,,141.1
04/10/1992,,20.50,2.505,,,,,,0.7023,119.37,5.5002,83.72,,,141.7
11/10/1992,,20.90,2.293,,,,,,0.7348,121.84,5.54,86.72,,,141.7
18/10/1992,,20.81,2.452,,,,,,0.7311,119.44,5.54,85.8,,,141.7
