Unnamed: 0,target
2016-06-03,296300.0
2016-06-04,86900.0
2016-06-05,188400.0
2016-06-06,154700.0
2016-06-07,147700.0
2016-06-08,141000.0
2016-06-09,78000.0
2016-06-10,91500.0
2016-06-11,62200.0
2016-06-12,43200.0
2016-06-13,110100.0
2016-06-14,40700.0
2016-06-15,94800.0
2016-06-16,110800.0
2016-06-17,56500.0
2016-06-18,24200.0
2016-06-19,21000.0
2016-06-20,1012100.0
2016-06-21,774700.0
2016-06-22,478600.0
2016-06-23,400700.0
2016-06-24,253900.0
2016-06-25,106500.0
2016-06-26,66700.0
2016-06-27,233800.0
2016-06-28,307100.0
2016-06-29,212500.0
2016-06-30,127600.0
2016-07-01,214100.0
2016-07-02,50500.0
2016-07-03,13000.0
2016-07-04,177700.0
2016-07-05,231500.0
2016-07-06,40000.0
2016-07-07,0.0
2016-07-08,0.0
2016-07-09,0.0
2016-07-10,0.0
2016-07-11,280600.0
2016-07-12,141800.0
2016-07-13,77400.0
2016-07-14,32800.0
2016-07-15,135500.0
2016-07-16,20800.0
2016-07-17,14100.0
2016-07-18,103100.0
2016-07-19,55000.0
2016-07-20,1088300.0
2016-07-21,1581400.0
2016-07-22,404600.0
2016-07-23,263800.0
2016-07-24,145000.0
2016-07-25,561300.0
2016-07-26,112800.0
2016-07-27,266000.0
2016-07-28,156300.0
2016-07-29,96200.0
2016-07-30,53800.0
2016-07-31,58600.0
2016-08-01,345500.0
2016-08-02,294300.0
2016-08-03,179400.0
2016-08-04,495900.0
2016-08-05,146800.0
2016-08-06,61000.0
2016-08-07,94300.0
2016-08-08,134600.0
2016-08-09,97800.0
2016-08-10,84400.0
2016-08-11,102500.0
2016-08-12,99900.0
2016-08-13,22200.0
2016-08-14,16500.0
2016-08-15,130300.0
2016-08-16,53400.0
2016-08-17,98100.0
2016-08-18,47700.0
2016-08-19,69600.0
2016-08-20,101800.0
2016-08-21,50900.0
2016-08-22,699900.0
2016-08-23,1270500.0
2016-08-24,854600.0
2016-08-25,407200.0
2016-08-26,278400.0
2016-08-27,67400.0
2016-08-28,45000.0
2016-08-29,174900.0
2016-08-30,116700.0
2016-08-31,273100.0
2016-09-01,105200.0
2016-09-02,235700.0
2016-09-03,55400.0
2016-09-04,47400.0
2016-09-05,124100.0
2016-09-06,148100.0
2016-09-07,179100.0
2016-09-08,141000.0
2016-09-09,262900.0
